Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дацюк,Марко,Олегович,male,1959-12-11,Аудитор,місто Бучач,"провулок Палія Семена, буд. 849 кв. 235, Зіньків, 55333",073 433-23-39,alevtyntelychenko@example.net
Заїка,Ярослав,Марківич,male,1981-02-04,Менеджер з продажу,село Полтава,"узвіз Торгова, буд. 8, Перещепине, 07271",+380 30 526-77-95,jtalan@example.net
Жайворон,Данна,Назарівна,female,1988-12-26,Фінансовий аналітик,місто Армянськ,"проспект Ключовий 2-й, буд. 2, Звенигородка, 67787",+380 (55) 301-96-11,vasylynaonishchuk@example.org
Тригуб,Христина,Григоріївна,female,1991-12-18,Асистент керівника,місто Кадіївка,"парк Олександра Тимошенка, буд. 14 кв. 95, Світловодськ, 51405",319-24-71,rkyrylenko@example.net
Сагаль,Захар,Михайлович,male,1949-03-06,Бухгалтер,селище Дубно,"провулок 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 117 кв. 348, Сколе, 59433",+380 77 151-88-75,antonshablii@example.com
Сомко,Роман,Ігорович,male,1968-09-15,Асистент керівника,місто Ізяслав,"парк Костанді, буд. 74 кв. 4, Бердянськ, 82672",+380 (30) 391-66-70,darynasvystun@example.net
Царенко,Аліна,Ігорівна,female,1984-02-16,HR-менеджер,хутір Ізюм,"шосе Новикова, буд. 173, Герца, 94755",012 378-40-04,mazepaliliia@example.com
Гаврилишин,Тарас,Тимофійович,male,1953-02-05,Менеджер з продукту,місто Білицьке,"площа Літній, буд. 719 кв. 09, Кипуче, 05733",+380 76 430-64-82,stepan39@example.org
Андрощук,Віталій,Павлович,male,1944-03-24,Бухгалтер,село Рава-Руська,"сквер Уютна, буд. 2 кв. 49, Мостиська, 65296",013 291-80-68,nkovaliuk@example.net
Конопля,Онисим,Михайлович,male,1995-05-08,Фінансовий аналітик,село Сєвєродонецьк,"шосе Маловського, буд. 7, Сквира, 68560",036 085-12-55,aasaula@example.com
Товстоліс,Клавдія,Остапівна,female,2001-04-25,Тестувальник,місто Сквира,"узвіз Зоряна, буд. 447, Моспине, 62553",+380 (58) 618-15-52,pylypenkoaaron@example.net
Ярош,Лукʼян,Іванович,male,1997-09-19,Програміст,хутір Тульчин,"узвіз Чапаєва, буд. 227 кв. 9, Мукачево, 74755",731 26 56,xdrozd@example.net
Жаліло,Дан,Сергійович,male,1955-08-25,Менеджер з продажу,село Бурштин ,"парк Першотравневий 3-й, буд. 08, Тернопіль, 76570",+380 65 308-09-69,iakivabramenko@example.net
Полтавець,Юхим,Геннадійович,male,1971-10-11,Кадровий менеджер,село Угнів,"узвіз Яружний, буд. 89, Сіверськ, 18930",+380 (63) 739-78-75,idzhus@example.org
Вдовенко,Трохим,Ігорович,male,1959-01-01,Програміст,місто Таврійськ,"узвіз Ползунова 2-й, буд. 68, Вишневе , 34309",+380 16 947-46-23,hrudyk@example.org
Калениченко,Ірина,Леонідівна,female,1964-01-23,PR-менеджер,хутір Кальміуське,"парк 3-тя Лінія Марії Демченко, буд. 7, Довжанськ, 01648",+380 52 312 50 99,iosypkhrystych@example.com
Батіг,Феофан,Павлович,male,1959-07-21,Аудитор,місто Антрацит ,"провулок Селищний, буд. 664 кв. 41, Балаклія, 53986",004 539-28-85,ivanenkoparmen@example.org
Твердохліб,Мілена,Ігорівна,female,1995-02-07,Аналітик даних,місто Сновськ,"сквер Пржевальського, буд. 1 кв. 7, Монастириська, 06909",902 14 73,priska81@example.net
Ільєнко,Омелян,Павлович,male,1980-07-14,Менеджер з закупівель,місто Козятин,"шосе Пересипська 6-та, буд. 9 кв. 59, Ізяслав, 30843",009 057 11 51,tetianatryhub@example.com
Ярема,Максим,Михайлович,male,1952-08-26,Менеджер з закупівель,місто Марганець ,"площа Гонтаренко, буд. 764 кв. 06, Балаклія, 40326",+380 66 707-82-38,zhuchenkoemiliia@example.com
Лаба,Ярина,Ярославівна,female,1970-04-21,Дизайнер,місто Немирів,"вулиця Магнітогорська, буд. 4 кв. 1, Красноперекопськ, 73706",490 54 56,symonbabarychenko@example.com
Перебийніс,Назар,Ігорович,male,1956-07-29,Кадровий менеджер,село Радехів,"парк Теплична, буд. 90, Чорнобиль, 10318",024 413 23 54,oliinykazar@example.com
Андрейко,Опанас,Кирилович,male,1947-04-11,Аудитор,село Борзна,"узвіз Парусна, буд. 0, Мала Виска, 67137",+380 78 216 15 08,fabramchuk@example.net
Кибкало,Мирослав,Максимович,male,1939-05-08,Кадровий менеджер,село Рені,"проспект Станційна 2-га, буд. 24, Оріхів, 88647",+380 (15) 874-23-00,vitaliikanivets@example.com
Ґереґа,Ілля,Мар'янович,male,1963-10-01,Копірайтер,хутір Острог,"проспект Польський узвіз, буд. 88, Маріуполь, 03842",+380 (01) 065-52-83,maryna02@example.com
Онуфрієнко,Аврелій,Андрійович,male,1947-10-09,Аудитор,селище Баштанка,"сквер Селищний, буд. 5, Борзна, 73964",+380 35 375-44-21,allalubenets@example.net
Безбородьки,Людмила,Леонідівна,female,2008-08-08,Інженер з якості,село Новгород-Сіверський,"парк Олександра Невського 1-й, буд. 209, Прип'ять , 88473",062 655 40 06,sviatoslavchubai@example.com
Скиба,Назар,Іванович,male,1997-06-16,Фінансовий аналітик,хутір Брянка,"узвіз Глазунова, буд. 051 кв. 8, Українка , 66280",+380 43 891 72 04,petro39@example.net
Запорожець,Лесь,Олегович,male,1992-06-25,PR-менеджер,селище Овруч,"узвіз Єлісаветинська, буд. 198, Дубляни, 10842",+380 10 474-76-75,aaron72@example.net
Рябець,Софія,Олександрівна,female,1987-03-19,Аудитор,місто Буськ,"проспект Макаренка, буд. 981 кв. 555, Чигирин, 70889",304-05-71,virazakusylo@example.com
Гаврюшенко,Софія,Григоріївна,female,2002-12-21,Дизайнер,село Докучаєвськ,"узвіз Студентський 5-й, буд. 570, Соледар, 01811",+380 55 535-00-56,mykolai76@example.com
Верховинець,Варфоломій,Олегович,male,1991-11-15,Менеджер з закупівель,селище Павлоград,"узвіз Радісна, буд. 8 кв. 251, Золочів, 26468",196 93 16,sirchenkosviatoslava@example.org
Засенко,Максим,Ярославович,male,1996-03-25,PR-менеджер,село Ворожба,"шосе Лазурний 1-й, буд. 94, Немирів, 10844",891-42-58,volodymyrastus@example.com
Андрійович,Левко,Данилович,male,1966-07-09,Бухгалтер,місто Кіцмань,"набережна Фестивальний, буд. 2, Стебник, 72017",694 31 27,ssamoilenko@example.com
Бевзенко,Захар,Тимофійович,male,1976-06-30,Бухгалтер,село Південне ,"проспект Лузанівка, буд. 30 кв. 8, П'ятихатки, 62367",+380 (99) 697-70-62,alysenko@example.org
Лупій,Артем,Григорійович,male,2005-12-17,Менеджер з продажу,місто Куп'янськ,"шосе Педагогічна, буд. 90, Прилуки, 46222",204 75 70,bohuslavzinkevych@example.org
Ємець,Богуслава,Олексіївна,female,1999-03-26,Менеджер з продажу,селище Іловайськ,"узвіз Естонська, буд. 0 кв. 27, Біляївка, 80910",088 62 55,mykhailoonufriienko@example.com
